Comment,Designator,Footprint,LCSC Part #
220nF,C1,1206,C107186
100nF,C2,1206,C24497
10uF,C3,1206,C13585
10uF,C4,1206,C13585
60V/1A,D2,Diode_Schottky_0603,C3759853
1N4007,D3,SMA_L4.3-W2.5-LS5.0-RD,C727081
22uH,L1,0805,C6364733
1M,R1,1206,C17927
10,R2,1206,C17903
56.2k,R7,1206,C2999490
10k,R8,1206,C17902
100k,R9,1206,C17900
NE555DR-MS,U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C7434189
LMR16006XDDCT,U3,SOT95P280X110-6N,C87080
